city,meal_at_an_inexpensive_restaurant,cappuccino_regular_size,basic_utilities_for_85_m2apartment_electricity_heating_cooling_water_garbage,broadband_internet_unlimited_data_60_mbps_or_higher,1_bedroom_apartment_in_city_centre,price_per_square_meter_to_buy_apartment_outside_of_centre,average_monthly_net_salary_after_tax,annual_mortgage_interest_rate_20_year_fixed_in_,market_basket_index,transportation_cost_index,sports_leisure_index,childcare_cost_index,predicted_salary_lr,predicted_salary_rf,city_cluster,SalaryToRent,SalaryToMarket
Bathinda-India,250.0,110.0,4998.49,300.0,10400.0,47500.0,37500.0,8.0,863.92,1136.5,2290.625,17833.333333333336,26053.921645089977,32454.802667830267,2,3.605769230769231,43.40679692564127
Eluru-India,140.0,197.27,1500.0,780.7,11000.0,43055.64,40000.0,9.06,929.31,1136.5,3950.0,20166.666666666668,49042.06549407367,41792.74911272035,1,3.6363636363636362,43.042687585412835
Purnia-India,200.0,155.0,3833.33,640.0,8000.0,48437.6,30000.0,9.46,814.5,1136.5,2290.625,17633.333333333336,38739.24251432887,35329.52870248935,2,3.75,36.83241252302026
Sonipat-India,175.0,60.0,2638.89,549.5,6500.0,32000.0,24333.33,9.11,975.4999999999999,1965.22,1600.0,13111.110833333332,30066.369919980934,30302.174687809937,2,3.743589230769231,24.94446950281907
Rourkela-India,150.0,138.33,2250.0,663.34,5000.0,47500.0,80000.0,8.55,783.45,1136.5,2290.625,25738.09333333333,41433.838923265124,60699.06480342333,2,16.0,102.1124513370349
Imphal-India,450.0,65.0,6416.67,350.0,7000.0,21527.82,17500.0,14.35,1342.5,1565.05,1900.0,10250.0,25270.283411290166,31123.54675011905,1,2.5,13.035381750465548
Ratlam-India,200.0,172.22,2500.0,500.0,11750.0,64583.46,37000.0,8.73,872.69,1136.5,2290.625,14249.916666666668,35860.81908660245,35727.2402223442,2,3.148936170212766,42.39764406604865
Arrah-India,200.0,155.0,3833.33,500.0,10400.0,47500.0,36153.575,9.46,871.8699999999999,1136.5,2290.625,17633.333333333336,34382.8332115292,34661.407991438195,2,3.476305288461538,41.466703751706106
Anantapur-India,120.0,50.0,3631.22,433.33,14000.0,250000.0,36666.67,9.43,977.63,1838.49,2700.0,14249.996666666666,31632.498797105873,36523.32933864459,1,2.619047857142857,37.50567187995458
Begusarai-India,200.0,150.0,1100.0,640.0,5000.0,47500.0,62500.0,9.46,796.16,1136.5,1400.0,9300.0,36581.48242809383,54331.68571515877,2,12.5,78.50180868167203
Gandhidham-India,300.0,152.5,1850.0,500.0,9500.0,47500.0,20000.0,8.91,929.03,1136.5,2290.625,9000.0,35486.63759522021,26006.54300105873,2,2.1052631578947367,21.52783010236483
Pondicherry,250.0,185.0,2754.35,620.0,20250.0,32291.73,27663.12,8.25,909.75,1213.31,1207.5,14520.83,40703.09094495648,37391.34253381266,2,1.36608,30.407386644682603
Sikar-India,275.0,186.88,4039.18,250.0,10000.0,47500.0,25000.0,8.0,1070.79,1136.5,3950.0,19777.774166666666,31902.083746960598,28292.37652683748,1,2.5,23.347248293316152
Thoothukudi-India,115.0,125.0,3269.45,653.59,9250.0,47500.0,26666.67,8.7,960.41,1826.03,2130.0,19138.889166666668,37656.682818852416,32789.461085203366,1,2.882883243243243,27.7659228871003
Rewa-India,100.0,50.0,4711.54,688.78,7000.0,26909.78,32500.0,8.53,701.63,1278.94,1816.67,10520.833333333332,28650.710273277644,35972.66622342589,2,4.642857142857143,46.320710345908815
Mirzapur-India,145.0,100.0,4711.54,688.78,5000.0,47500.0,36153.575,8.53,782.74,458.94,2290.625,11608.333333333332,31715.000192845626,38067.3141449611,2,7.230714999999999,46.188485320796175
Haridwar-India,180.0,214.85,3911.15,450.0,10000.0,47500.0,19600.0,6.0,821.4600000000002,1136.5,1900.0,22634.06,36196.21679369788,26270.804145389924,2,1.96,23.85995666252769
