city,meal_at_an_inexpensive_restaurant,cappuccino_regular_size,basic_utilities_for_85_m2apartment_electricity_heating_cooling_water_garbage,broadband_internet_unlimited_data_60_mbps_or_higher,1_bedroom_apartment_in_city_centre,price_per_square_meter_to_buy_apartment_outside_of_centre,average_monthly_net_salary_after_tax,annual_mortgage_interest_rate_20_year_fixed_in_,market_basket_index,transportation_cost_index,sports_leisure_index,childcare_cost_index,predicted_salary_lr,predicted_salary_rf,city_cluster,SalaryToRent,SalaryToMarket
Bhilai-India,250.0,173.33,3000.0,566.33,7000.0,47500.0,63036.67,7.5,982.05,1057.01,1275.0,16083.333333333334,36883.996808895376,49966.76017800185,2,9.00523857142857,64.18886003767629
Cuttack-India,80.0,138.33,4165.09,663.34,13000.0,22604.21,41937.5,7.72,911.2099999999999,1461.61,2175.0,20333.333333333332,36601.63884817328,39238.80184842195,2,3.2259615384615383,46.0239681302883
Kochi,150.0,125.0,3269.45,653.59,18000.0,114019.18,44407.78,8.7,1092.09,1733.56,2796.66,20788.889166666668,42624.44076441926,47259.766295080466,1,2.4670988888888887,40.66311384592845
Nellore,150.0,200.0,3097.32,633.33,20833.33,43055.64,60750.0,10.0,881.58,1136.5,1733.33,14583.33,39796.795606830725,52823.92827329029,2,2.9160004665600745,68.91036548016062
Bhavnagar-India,150.0,123.33,3000.0,573.0,10000.0,28606.52,23750.0,8.91,917.35,843.65,1394.44,9833.335833333333,29738.41522191142,27766.132196535313,2,2.375,25.889791246525316
Dehradun,300.0,195.0,5359.38,691.25,18800.0,44513.91,35000.0,8.12,913.99,1615.9,2845.83,33041.66666666667,51868.12898754928,41759.90679656151,1,1.8617021276595744,38.293635597763654
Durgapur-India,200.0,143.68,3500.0,605.0,6500.0,23680.6,59000.0,9.8,801.2399999999999,875.1,2290.625,15600.714166666667,35346.70673431377,53961.818458450885,2,9.076923076923077,73.63586441016426
Asansol-India,200.0,113.33,3402.0,677.0,8000.0,47500.0,26222.25,9.08,965.7499999999999,1064.71,2175.0,15007.576666666666,36995.268810910784,30111.98204923912,2,3.27778125,27.152213305720945
Nanded-India,250.0,156.67,4017.8,579.8,12500.0,38454.89,28250.0,8.83,1014.02,1277.23,3663.33,8222.224166666667,36676.10840586329,31657.184316160303,1,2.26,27.859411056981124
Kolhapur,200.0,114.0,2725.0,624.5,9600.0,42899.32,27000.0,9.31,1072.15,1389.29,1916.67,12194.444166666666,35168.00734009824,30029.355087359458,2,2.8125,25.18304341743226
Ajmer-India,150.0,60.0,2675.0,718.75,8000.0,215278.21,39666.67,11.67,759.75,974.85,2291.67,17694.4475,40866.95091363593,42699.011661066914,2,4.9583337499999995,52.210161237249096
Jamnagar,325.0,73.33,4924.86,575.0,7333.33,24756.99,33000.0,8.75,971.05,1136.5,3125.0,10250.0,32587.347723653307,34083.409543605354,1,4.500002045455475,33.98383193450389
Ujjain-India,150.0,198.33,2500.0,600.0,6666.67,50000.0,31666.67,8.37,822.4299999999998,834.83,1700.0,15416.67,37102.24757661182,36401.19173213002,2,4.749998125000937,38.503787556387785
Siliguri,175.0,133.33,3256.56,743.5,13000.0,39467.67,35000.0,10.03,805.5300000000001,1142.94,1383.33,15694.444166666666,39733.18064037298,36471.41273519122,2,2.6923076923076925,43.449654264893915
Jhansi-India,250.0,198.33,2500.0,470.0,4000.0,47500.0,15000.0,9.0,827.56,1482.04,1250.0,25222.2225,39166.0674701549,27836.370946797957,2,3.75,18.12557397650926
Ulhasnagar-India,300.0,200.0,3262.09,700.0,10000.0,47500.0,35000.0,8.69,1041.44,1136.5,2290.625,21520.836666666666,47277.691198081695,35237.2375886332,1,3.5,33.6073129512982
